,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
0,266,51602,156,b'GALAXY',b'AGN',0.03645882,135.4434,34.14171,105.4667,67.42683,10.73305,36.96299,31.64611,-22.38621,-11.56576
1,266,51630,158,b'GALAXY',b'AGN',0.03645184,145.3708,36.18832,114.1467,73.52751,9.397298,43.39631,26.49167,-23.64526,-11.91077
2,266,51602,239,b'QSO',b'AGN BROADLINE',0.06319997,326.3078,73.43578,171.3132,147.3758,29.39717,45.53933,34.00339,-15.11861,-7.846132
3,266,51602,504,b'GALAXY',b'STARBURST',0.03036829,1538.489,317.2462,82.9399,505.0709,34.58164,252.9476,179.6677,-57.50385,-18.78358
4,267,51608,47,b'GALAXY',b'AGN BROADLINE',0.1102809,960.9924,160.043,711.9967,708.8573,94.52248,254.3179,211.6468,-47.40646,-34.87457
5,267,51608,161,b'GALAXY',b'STARFORMING',0.106981,283.6448,70.57777,23.34986,106.8202,9.128121,51.64438,36.12083,-30.15765,-11.01121
6,268,51633,202,b'GALAXY',b'STARFORMING',0.1262092,575.7731,158.175,118.9729,185.7486,18.9952,118.1383,83.33763,-35.01572,-11.04002
7,268,51633,206,b'GALAXY',b'AGN',0.09104228,89.06319,19.6135,36.67346,114.1237,18.56967,38.56157,36.79688,-4.461447,-5.215376
8,268,51633,332,b'GALAXY',b'STARFORMING',0.06193933,169.3539,30.36158,12.0166,62.09657,7.404877,38.16954,26.18386,-21.7173,-7.615408
9,268,51633,608,b'GALAXY',b'STARFORMING',0.08107227,302.3946,68.59451,17.28612,104.6819,9.53024,51.53569,49.38479,-28.69223,-9.692334
10,269,51910,427,b'GALAXY',b'STARFORMING',0.04454955,448.1151,106.5143,27.09401,196.9852,15.99726,70.88669,57.93261,-30.85085,-13.62711
11,269,51910,521,b'GALAXY',b'STARBURST',0.06594614,1550.91,331.4507,128.002,640.8735,41.07338,236.4948,192.3444,-81.22048,-33.82898
12,270,51909,220,b'GALAXY',b'STARFORMING',0.06605411,364.9677,81.74656,61.76437,181.1795,16.09316,76.74274,58.75269,-14.66399,-7.052725
13,270,51909,233,b'GALAXY',b'STARFORMING',0.09598909,353.1573,98.78344,48.97398,113.609,13.55352,73.63857,49.07141,-35.96984,-11.50417
14,270,51909,325,b'GALAXY',b'STARFORMING',0.03249149,780.3043,161.0957,45.03998,265.6569,15.31121,141.8729,104.385,-30.35316,-10.13276
15,270,51909,492,b'GALAXY',b'STARFORMING',0.06985281,364.568,75.52629,29.98916,135.9868,12.9557,67.46703,52.18385,-22.60051,-8.581541
16,271,51883,80,b'GALAXY',b'STARFORMING',0.09470966,482.1153,115.9101,38.58523,158.3212,16.51134,89.57397,66.1195,-37.90469,-12.40853
17,271,51883,375,b'GALAXY',b'STARFORMING',0.07164954,236.6231,65.09435,42.85423,66.30852,7.298512,60.94049,40.74205,-24.62322,-6.742836
18,271,51883,388,b'GALAXY',b'AGN',0.09780669,215.872,53.03377,224.7898,256.5285,27.959,87.28344,68.69065,-11.32776,-13.29582
19,273,51957,418,b'GALAXY',b'STARBURST',0.1182065,560.6749,123.4587,55.63391,184.5627,14.72792,95.34555,74.11189,-51.19408,-16.64979
20,274,51913,402,b'GALAXY',b'STARFORMING',0.0590397,522.9574,118.672,91.83997,139.2502,19.05828,111.5675,77.49961,-33.95866,-9.235363
21,275,51910,267,b'GALAXY',b'STARBURST',0.1273446,522.7598,109.759,55.11606,152.0031,18.83328,106.5452,73.31917,-50.42452,-14.95133
22,275,51910,634,b'GALAXY',b'STARFORMING',0.03789995,674.1884,111.4826,75.56413,408.3515,31.39425,129.2689,107.7748,-12.81294,-7.535688
